iter	Passed	Remaining
920	5139	440
921	5147	435
922	5154	429
923	5160	424
924	5169	419
925	5174	413
926	5179	407
927	5185	402
928	5191	396
929	5196	391
930	5201	385
931	5206	379
932	5211	374
933	5217	368
934	5222	363
935	5226	357
936	5231	351
937	5235	346
938	5241	340
939	5246	334
940	5250	329
941	5255	323
942	5259	317
943	5265	312
944	5271	306
945	5277	301
946	5282	295
947	5288	290
948	5292	284
949	5297	278
950	5301	273
951	5306	267
952	5312	261
953	5316	256
954	5321	250
955	5325	245
956	5330	239
957	5335	233
958	5340	228
959	5344	222
960	5349	217
961	5353	211
962	5359	205
963	5363	200
964	5367	194
965	5372	189
966	5376	183
967	5381	177
968	5385	172
969	5390	166
970	5394	161
971	5399	155
972	5404	149
973	5410	144
974	5416	138
975	5420	133
976	5425	127
977	5430	122
978	5435	116
979	5439	111
980	5444	105
981	5448	99
982	5454	94
983	5458	88
984	5463	83
985	5467	77
986	5471	72
987	5477	66
988	5482	60
989	5487	55
990	5491	49
991	5495	44
992	5501	38
993	5505	33
994	5510	27
995	5515	22
996	5519	16
997	5524	11
998	5529	5
999	5533	0
